"Participant","RT","ISI","Response_Type","Trial_Score","Total_Score","Threshold","Valid_Trial","Valid_Trial_Count","Stimulus_Size","Stimulus_X","Stimulus_Y","Stimulus_Orientation"
"S129",0.378716142654419,3.80428385734558,"fast",165,165,0.410593015670776,TRUE,2,0.584460556507111,425.631713867188,35.3512802124023,-0.898794114589691
"S129",0.300991774368286,2.46480822563171,"fast",176,341,0.394654579162597,TRUE,3,0.698132932186127,-588.219116210938,-362.072845458984,0.725374281406403
"S129",0.361785284042358,2.55421471595764,"fast",165,506,0.378716142654419,TRUE,4,0.65046900510788,-576.924011230469,-353.90576171875,0.942641496658325
"S129",0.41151952108612,1.12168037891388,"slow",0,506,0.370250713348389,TRUE,5,0.411216586828232,-332.831695556641,-372.336242675781,0.917060136795044
"S129",0.327954313604736,2.62174558639526,"fast",170,676,0.378716142654419,TRUE,6,0.565024554729462,644.429382324219,81.6001358032227,0.809017062187195
"S129",0.301892637634277,3.78000736236572,"fast",174,850,0.370250713348389,TRUE,7,0.499672770500183,682.143188476562,-138.160308837891,-0.913545489311218
"S129",0.386546747589111,1.61335325241089,"slow",0,850,0.361785284042358,TRUE,8,0.51179713010788,569.406982421875,-126.43238067627,0.760406017303467
"S129",0.350468466949462,3.78273153305054,"fast",166,1016,0.370250713348389,TRUE,9,0.358944892883301,658.452026367188,-440.074859619141,-0.267238289117813
"S129",0.330803970336914,2.53569602966309,"fast",168,1184,0.361785284042358,TRUE,10,0.396133959293365,371.681457519531,-31.2668762207031,0.12186923623085
"S129",0.302002155303955,3.44749784469604,"fast",172,1356,0.35612687549591,TRUE,11,0.471662878990173,594.435791015625,-117.530158996582,0.788010895252228
"S129",0.330762361145019,3.58533763885498,"fast",167,1523,0.350468466949462,TRUE,12,0.351986169815063,689.876953125,76.7837142944336,-0.999048233032227
"S129",0.316296908187866,2.53300309181213,"fast",168,1691,0.340636218643188,TRUE,13,0.475415647029877,-393.950103759766,115.475646972656,0.587785065174103
"S129",0.327990972137451,3.03860902786255,"fast",165,1856,0.330803970336914,TRUE,14,0.552612066268921,-620.883361816406,49.1616668701172,0.798635721206665
"S129",0.386319835662842,2.34668016433716,"slow",0,1856,0.330783165740967,TRUE,15,0.676490843296051,-483.575012207031,-279.77099609375,-0.906307697296143
"S129",0.353825839559936,3.37957406044006,"slow",0,1856,0.330803970336914,TRUE,16,0.419865310192108,-642.161743164062,-327.170104980469,-0.438371390104294
"S129",0.347045127813721,2.70225477218628,"slow",0,1856,0.340636218643188,TRUE,17,0.534354209899902,-433.948669433594,-338.208953857422,0.551937341690063
"S129",0.339133942086792,2.16096615791321,"fast",165,2021,0.347045127813721,TRUE,18,0.666157305240631,627.31201171875,35.7488555908203,-0.990267992019653
