"Participant","RT","ISI","Response_Type","Trial_Score","Total_Score","Threshold","Valid_Trial","Valid_Trial_Count","Stimulus_Size","Stimulus_X","Stimulus_Y","Stimulus_Orientation"
"S042",0.29549025554657,1.60470974445343,"fast",177,581,0.395152961294556,TRUE,7,0.305364549160004,-486.443695068359,101.384544372559,0.230083867907524
"S042",0.313486745071411,3.93621325492859,"fast",173,754,0.38314088875885,TRUE,8,0.325526237487793,-593.066650390625,125.460227966309,-0.946637988090515
"S042",0.369324416351318,3.14737558364868,"fast",162,916,0.371128816223144,TRUE,9,0.542159855365753,-390.933502197266,-66.9803466796875,-0.679467022418976
"S042",0.35661717027893,3.09418272972107,"fast",165,1081,0.370226616287231,TRUE,10,0.524380683898926,-491.846374511719,91.2089233398438,0.957309365272522
"S042",0.336807020187378,2.69619297981262,"fast",168,1249,0.369324416351318,TRUE,11,0.373998403549194,634.721069335938,-143.337677001953,-0.900303542613983
"S042",0.336874951553344,1.76232504844666,"fast",167,1416,0.362970793315124,TRUE,12,0.392003774642944,467.229919433594,-97.1792831420898,0.0383528210222721
"S042",0.495059960992431,2.12124013900757,"slow",0,1416,0.35661717027893,TRUE,13,0.515433490276337,405.609924316406,-28.3549423217773,0.817165076732635
"S042",0.357728070831298,3.6418719291687,"fast",163,1579,0.362970793315124,TRUE,14,0.431099027395248,407.895538330078,82.3699798583984,-0.931678533554077
"S042",0.322037194824219,3.84406280517578,"fast",169,1748,0.357728070831298,TRUE,15,0.685237944126129,548.861450195312,-78.0346221923828,-0.915676712989807
"S042",0.347655853216553,3.56864404678345,"fast",164,1912,0.357172620555114,TRUE,16,0.45470666885376,-555.351013183594,-5.72267913818359,-0.213064640760422
"S042",0.359321220397949,1.77367877960205,"slow",0,1912,0.35661717027893,TRUE,17,0.669130980968475,405.56494140625,-147.927856445312,0.907762765884399
"S042",0.309274618530273,3.74062538146973,"fast",171,2083,0.357172620555114,TRUE,18,0.308044016361237,-586.210083007812,-270.932495117188,0.606016337871552
"S042",0.497763528823852,2.51723647117615,"slow",0,2083,0.35661717027893,TRUE,19,0.360362708568573,-693.33056640625,-449.825225830078,0.0837127864360809
"S042",0.345619299888611,1.21988070011139,"fast",165,2248,0.357172620555114,TRUE,20,0.691924750804901,-418.657104492188,-2.02241516113281,-0.999994039535522
"S042",0.390385469000244,3.64301443099976,"slow",0,2248,0.35661717027893,TRUE,21,0.394622564315796,343.165954589844,-288.498352050781,0.811043381690979
"S042",0.300485182189941,1.88241481781006,"fast",173,2421,0.357172620555114,TRUE,22,0.481267809867859,-644.140869140625,44.9949722290039,-0.645431041717529
"S042",0.321638846643066,3.54376125335693,"fast",169,2590,0.35661717027893,TRUE,23,0.488443970680237,528.87890625,-390.694549560547,-0.740828096866608
"S042",0.415963569641113,3.80003643035889,"slow",0,0,0.355179615374756,TRUE,24,0.369910299777985,-341.450561523438,131.41455078125,-0.443102598190308
"S042",0.370751736395264,1.06184816360474,"slow",0,0,0.35661717027893,TRUE,25,0.428877204656601,-688.82080078125,-113.251998901367,0.270566761493683
"S042",0.321938271005249,3.56016182899475,"fast",169,169,0.357172620555114,TRUE,26,0.58320289850235,682.695739746094,-250.088790893555,0.773818016052246
"S042",0.377105629348755,1.70529437065125,"slow",0,169,0.35661717027893,TRUE,27,0.465678930282593,658.448913574219,8.07971954345703,0.826078534126282
"S042",0.353189112036133,2.46301078796387,"fast",163,332,0.357172620555114,TRUE,28,0.661876976490021,605.410522460938,-320.332824707031,-0.784754574298859
"S042",0.355909362411499,3.5771906375885,"fast",163,495,0.35661717027893,TRUE,29,0.545366525650024,366.331176757812,-265.713409423828,-0.81716513633728
"S042",0.345872479629517,3.07032752037048,"fast",165,660,0.356263266345215,TRUE,30,0.699833333492279,-417.301696777344,-253.603042602539,-0.481784403324127
"S042",0.310412700653076,1.77258729934692,"fast",171,831,0.355909362411499,TRUE,31,0.346865594387054,-337.289001464844,35.9565734863281,0.999192953109741
"S042",0.306500449752807,3.87659955024719,"fast",172,1003,0.35482571144104,TRUE,32,0.380717724561691,506.299835205078,193.235076904297,-0.790133535861969
"S042",0.378207196044922,3.33809280395508,"slow",0,1003,0.353742060470581,TRUE,33,0.504861533641815,-465.622924804688,-80.9380645751953,0.480192720890045
"S042",0.483554823875427,1.14944517612457,"slow",0,1003,0.35482571144104,TRUE,34,0.312707841396332,626.687622070312,214.731903076172,0.64013671875
"S042",0.362011146871948,3.60318875312805,"slow",0,1003,0.355909362411499,TRUE,35,0.303254544734955,768.801940917969,-48.2362060546875,-0.99317479133606
"S042",0.285102074050903,3.2647979259491,"fast",175,1178,0.356263266345215,TRUE,36,0.336445987224579,-561.414916992188,12.2873687744141,0.966814517974854
"S042",0.61989676399231,2.29680323600769,"slow",0,1178,0.355909362411499,TRUE,37,0.631100118160248,444.767364501953,-368.775207519531,-0.0296313017606735
"S042",0.431847561645508,2.28445243835449,"slow",0,1178,0.356263266345215,TRUE,38,0.374505579471588,-502.371948242188,-278.187591552734,-0.228316843509674
"S042",0.30983798160553,1.10656201839447,"fast",171,1349,0.35661717027893,TRUE,39,0.586828708648682,387.916656494141,-250.261947631836,-0.4741190969944
